SPÓŁDZIELNIA MIESZKANIOWA "KIWERSKA" W WARSZAWIE;0000275466;5250007017;00200321500000;KIWERSKA 14;;01-682;WARSZAWA;;SPÓŁDZIELNIA;28.02.2007;52.2836169;20.96777313642674
HANDLOWO-USŁUGOWA SPÓŁDZIELNIA OSÓB PRAWNYCH "SAMOPOMOC CHŁOPSKA" W WARSZAWIE;0000275133;5252389951;14091362800000;KOPERNIKA 30;;00-336;WARSZAWA;;SPÓŁDZIELNIA;28.02.2007;52.237274;21.0204879
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA CHATA;0000269602;1131459567;00049048700000;GROCHOWSKA 326;;03-838;WARSZAWA;;SPÓŁDZIELNIA;12.12.2006;52.24713945;21.059243414946803
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ATRIUM;0000268904;5251993768;00087419900000;WOLBROMSKA 61 I;;03-680;WARSZAWA;;SPÓŁDZIELNIA;07.12.2006;52.2836589;21.08225539900891
CENTRALNY ZWIĄZEK SPÓŁDZIELCZOŚCI RĘKODZIEŁA LUDOWEGO I ARTYSTYCZNEGO "CEPELIA" W LIKWIDACJI;0000267058;5250008086;00039876400000;UL. JASNA 1;420;00-013;WARSZAWA;;SPÓŁDZIELNIA;06.11.2006;52.2335931;21.0119722
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "DRNA";0000266765;5251575427;00049078300000;MICKIEWICZA 18;45;01-517;WARSZAWA;;SPÓŁDZIELNIA;30.10.2006;52.2623536;20.992835
SPÓŁDZIELNIA USŁUGOWA "NASZE OSIEDLE";0000266589;9512197714;14073994600000;M.SENGERA "CICHEGO" 4;2A;02-790;WARSZAWA;;SPÓŁDZIELNIA;26.10.2006;n;n
SPÓŁDZIELNIA MIESZKANIOWA "ORLIK-JANTAR";0000263802;1132633010;14068928900000;SALAMANDRY 3;;03-982;WARSZAWA;;SPÓŁDZIELNIA;18.09.2006;52.2258101;21.0916377
SPÓŁDZIELNIA MIESZKANIOWA "WILGA 2000";0000263785;1132633004;14069008000000;SZKOŁY ORLĄT 4;UŻYTKOWY 5;03-984;WARSZAWA;;SPÓŁDZIELNIA;15.09.2006;52.2286331;21.1065722
SPÓŁDZIELNIA MIESZKANIOWA "NASZA FAMILIA";0000263510;9511016047;01064820700000;DEMBEGO 12;;02-796;WARSZAWA;;SPÓŁDZIELNIA;11.09.2006;52.1315502;21.0758259
SPÓŁDZIELNIA MIESZKANIOWA "SZKLANY DOM";0000260415;1130213864;00049160100000;LONDYŃSKA 8;8;03-921;WARSZAWA;;SPÓŁDZIELNIA;13.07.2006;52.23437895;21.064547707896764
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW PRZEMYSŁU CUKROWNICZEGO;0000254510;5250006526;00049124500000;ROZBRAT 34/36;;00-429;WARSZAWA;;SPÓŁDZIELNIA;05.04.2006;52.2264563;21.034930589727274
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "DOM ROZBRAT";0000251730;5261670529;00049123900000;ROZBRAT 6;;00-451;WARSZAWA;;SPÓŁDZIELNIA;24.02.2006;52.2224607;21.035848663595452
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "OGNISKO";0000250524;5251000891;00048991700000;AL. NIEPODLEGŁOŚCI 210;;00-608;WARSZAWA;;SPÓŁDZIELNIA;14.02.2006;52.217627;21.0054501
MIĘDZYZAKŁADOWA SPÓŁDZIELNIA MIESZKANIOWA "GRABÓW";0000244952;9510024926;00090420400000;PUŁAWSKA 300 A;;02-819;WARSZAWA;;SPÓŁDZIELNIA;15.11.2005;52.14740745;21.01696766943519
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA NAUCZYCIELI SZKÓŁ ŚREDNICH "ZNICZ";0000242346;5251736528;00049080800000;MICKIEWICZA 37;;01-625;WARSZAWA;;SPÓŁDZIELNIA;29.09.2005;52.2727756;20.982704516523953
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "PUŁAWIANKA";0000237805;9511961656;00049185400000;PUŁAWSKA 483;;02-844;WARSZAWA;;SPÓŁDZIELNIA;12.07.2005;52.1330479;21.01857407094281
"NOWOSIELECKA" SPÓŁDZIELNIA MIESZKANIOWA;0000234840;5262870495;14015959700000;NOWOSIELECKA 14A;;00-466;WARSZAWA;;SPÓŁDZIELNIA;15.06.2005;52.211410900000004;21.046380956385928
