nazwa,krs,nip,regon,adres,nr_lokalu,kod_pocztowy,miejscowosc,forma_prawna,data_rejestracji,szer,dlug
"SPÓŁDZIELNIA MIESZKANIOWA ""MOTYWACJA""",0000106794,9511868661,00136173400000,WĄWOZOWA+23+WARSZAWA,,02-796,WARSZAWA,SPÓŁDZIELNIA,16.04.2002,52.1309464,21.0620615
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""STOIZB""",0000107113,5250012840,00049085000000,+MOKOTOWSKA+28+WARSZAWA,111,00-559,WARSZAWA,SPÓŁDZIELNIA,15.04.2002,52.2224117,21.0198872
"SPÓŁDZIELNIA MIESZKANIOWA WŁASNOŚCIOWA ""PRZESZŁOŚĆ""",0000106408,5211782404,00098536100000,WIŚNIOWA+15+WARSZAWA,,02-563,WARSZAWA,SPÓŁDZIELNIA,12.04.2002,52.20177425,21.018113705839085
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""RUDA""",0000106260,5250011898,01212313000000,KLAUDYNY+18A+WARSZAWA,,01-684,WARSZAWA,SPÓŁDZIELNIA,10.04.2002,52.2813306,20.9767519
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""ZREW""",0000104183,1180090429,00141289700000,"ZGRUPOWANIA+AK+""ŻMIJA""+2+WARSZAWA",,01-875,WARSZAWA,SPÓŁDZIELNIA,03.04.2002,52.269201100000004,20.940213375838788
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA INŻYNIERÓW BYŁEGO MINISTERSTWA KOLEI ŻELAZNYCH W W-WIE,0000102858,5250007112,00049075400000,MIANOWSKIEGO+15+WARSZAWA,30,02-044,WARSZAWA,SPÓŁDZIELNIA,02.04.2002,52.2166602,20.98594787107229
"SPÓŁDZIELNIA MIESZKANIOWA ""ANGORSKA""",0000100309,5250006839,00049050100000,ANGORSKA+5/9+WARSZAWA,,03-913,WARSZAWA,SPÓŁDZIELNIA,21.03.2002,52.238655,21.0592173
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""SADYBA""",0000099973,5213051656,00049089500000,POWSIŃSKA+24+C+WARSZAWA,,02-903,WARSZAWA,SPÓŁDZIELNIA,18.03.2002,52.18460955,21.0674415
"SPÓŁDZIELNIA MIESZKANIOWA ""KOLONIA KASPRZAKA""",0000097338,5270007121,01053124400000,+MARCINA+KASPRZAKA+7+WARSZAWA,U16,01-211,WARSZAWA,SPÓŁDZIELNIA,06.03.2002,52.2287791,20.975496
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""OSIEDLE AUTORÓW""",0000096909,5212962999,00049040600000,FITELBERGA+18+WARSZAWA,,02-641,WARSZAWA,SPÓŁDZIELNIA,06.03.2002,52.1900743,20.99192765147248
"SPÓŁDZIELNIA MIESZKANIOWA ""DĘBINA""",0000096502,5261649541,01079049000000,+JANA+ROSOŁA+40+WARSZAWA,7,02-786,WARSZAWA,SPÓŁDZIELNIA,05.03.2002,52.141480099999995,21.067923291283712
"ROBOTNICZA SPÓŁDZIELNIA MIESZKANIOWA ""PRAGA""",0000093107,5250006466,00049178800000,BIAŁOSTOCKA+11+WARSZAWA,,03-748,WARSZAWA,SPÓŁDZIELNIA,22.02.2002,52.2580868,21.0480759
"SPÓŁDZIELNIA INWESTYCJI MIESZKANIOWYCH ""URSYNÓW""",0000092715,9511910707,01493557600000,W.B.+JASTRZĘBOWSKIEGO+22+WARSZAWA,,02-786,WARSZAWA,SPÓŁDZIELNIA,19.02.2002,n,n
SPÓŁDZIELNIA MIESZKANIOWA WŁASNOŚCIOWA PRZYMIERZE W LIKWIDACJI,0000092686,1132247206,01628572800000,GÓRCZEWSKA+156+WARSZAWA,,01-460,WARSZAWA,SPÓŁDZIELNIA,19.02.2002,52.24228185,20.920442756191676
"""SPOŁEM"" WARSZAWSKA SPÓŁDZIELNIA SPOŻYWCÓW WOLA",0000090235,5250005320,00088028300000,WOLSKA+84/86+WARSZAWA,,01-141,WARSZAWA,SPÓŁDZIELNIA,13.02.2002,52.2322512,20.9594022
"SPÓŁDZIELNIA MIESZKANIOWA ""WALICOWO""",0000091326,5250006696,00049147500000,WALICÓW+19+WARSZAWA,-,00-865,WARSZAWA,SPÓŁDZIELNIA,12.02.2002,52.2361923,20.9914079
"SPÓŁDZIELNIA MIESZKANIOWO-BUDOWLANA ""IMIELIN""",0000085177,5250011131,01056910000000,MALINOWSKIEGO+5+WARSZAWA,,02-776,WARSZAWA,SPÓŁDZIELNIA,07.02.2002,52.151256700000005,21.037547329016142
"SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA ""WARDOM""",0000087596,5250009909,00087993700000,KOCHANOWSKIEGO+49+WARSZAWA,,01-864,WARSZAWA,SPÓŁDZIELNIA,04.02.2002,52.27033255,20.937299945367133
"SPÓŁDZIELNIA MIESZKANIOWA ""RZEMIOSŁO""",0000087027,5251000224,00101496100000,BIAŁOSTOCKA+24+WARSZAWA,116,03-741,WARSZAWA,SPÓŁDZIELNIA,31.01.2002,52.2551726,21.0410122
"""SPOŁEM"" WARSZAWSKA SPÓŁDZIELNIA SPOŻYWCÓW ""ŻOLIBORZ""",0000086882,5250010539,00088029000000,SŁOWACKIEGO+16/18+WARSZAWA,,01-627,WARSZAWA,SPÓŁDZIELNIA,29.01.2002,52.270196,20.9824063
WARSZAWSKA SPÓŁDZIELNIA MIESZKANIOWA,0000074605,5250006495,00048981100000,+ELBLĄSKA+14+WARSZAWA,,01-737,WARSZAWA,SPÓŁDZIELNIA,29.01.2002,52.2661941,20.963265741103733
"SPÓŁDZIELNIA PRACY USŁUG PRALNICZYCH I PORZĄDKOWYCH ""PRACA KOBIET""",0000086502,5250005633,00087394600000,SASKA+47/49+WARSZAWA,,03-968,WARSZAWA,SPÓŁDZIELNIA,28.01.2002,52.227231700000004,21.063348544169592
PIERWSZA NAUCZYCIELSKA SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA,0000079632,5250009944,00621253600000,CIESZKOWSKIEGO+1/3+WARSZAWA,,01-636,WARSZAWA,SPÓŁDZIELNIA,28.01.2002,52.270466,20.9800848
"SPÓŁDZIELNIA PRACY ""SKALA""",0000056888,5250001368,00042166400000,GIZÓW+6+WARSZAWA,,01-249,WARSZAWA,SPÓŁDZIELNIA,25.01.2002,52.2257165,20.9451892
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""DOM PRZY UL. MOCHNACKIEGO 4"" W WARSZAWIE",0000083515,5261658149,00049083700000,MOCHNACKIEGO+4+WARSZAWA,93,02-042,WARSZAWA,SPÓŁDZIELNIA,23.01.2002,52.2178507,20.9863172
"SPÓŁDZIELNIA OGRODNICZA ""CHODAKOWSKA""",0000082576,5250005076,01205858500000,CHODAKOWSKA+53/57+WARSZAWA,,03-816,WARSZAWA,SPÓŁDZIELNIA,23.01.2002,52.2530958,21.064457065529737
